date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:28	14079/14079	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22bdf3a293f31dd21:0%22	http://localhost:57233/fonts/glyphicons-halflings-regular.eot	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/fonts/glyphicons-halflings-regular.eot	(from http://localhost:57233/Content/bootstrap.css)
10:49:30	16448/16448	---M--	200	added ('OK')	font/x-woff	etag:%227f769393f31dd21:0%22	http://localhost:57233/fonts/glyphicons-halflings-regular.woff	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/fonts/glyphicons-halflings-regular.woff	(from http://localhost:57233/Content/bootstrap.css)
10:49:30	63157/63157	---M--	200	added ('OK')	image/svg+xml	etag:%224b5c9f93f31dd21:0%22	http://localhost:57233/fonts/glyphicons-halflings-regular.svg	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/fonts/glyphicons-halflings-regular.svg	(from http://localhost:57233/Content/bootstrap.css)
10:49:31	5885/5885	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202016%2023:49:30%20GMT	http://localhost:57233/Help/ResourceModel?modelName=WorkgroupModel	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Help/ResourceModel3e20.html	(from http://localhost:57233/Help/Api/GET-api-users-userId-workgroups-workgroupId)
10:49:32	3470/3470	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202016%2023:49:31%20GMT	http://localhost:57233/Help/ResourceModel?modelName=GenericItemModel	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Help/ResourceModelded5.html	(from http://localhost:57233/Help/Api/GET-api-users-userId-workgroups-workgroupId)
10:49:32	14079/14079	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22bdf3a293f31dd21:0%22	http://localhost:57233/fonts/glyphicons-halflings-regular.eot?	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/fonts/glyphicons-halflings-regulard41d.eot	(from http://localhost:57233/Content/bootstrap.css)
10:49:32	6875/6875	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202016%2023:49:31%20GMT	http://localhost:57233/Help/ResourceModel?modelName=WorkstationModel	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Help/ResourceModelb54b.html	(from http://localhost:57233/Help/Api/GET-api-users-userId-workgroups-workgroupId)
10:49:32	4064/4064	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202016%2023:49:32%20GMT	http://localhost:57233/Help/ResourceModel?modelName=WorkgroupListingModel	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Help/ResourceModel7781.html	(from http://localhost:57233/Help/Api/GET-api-users-userId-workgroups_count)
10:49:33	4942/4942	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202016%2023:49:32%20GMT	http://localhost:57233/Help/ResourceModel?modelName=UserLoginTokenModel	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Help/ResourceModel117f.html	(from http://localhost:57233/Help/Api/POST-api-login_username_password)
10:49:33	2305/2305	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202016%2023:49:33%20GMT	http://localhost:57233/Help/ResourceModel?modelName=IHttpActionResult	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Help/ResourceModel97c9.html	(from http://localhost:57233/Help/Api/POST-api-Home)
10:49:34	29512/29512	---M--	200	added ('OK')	application/octet-stream	etag:%229f5f9c93f31dd21:0%22	http://localhost:57233/fonts/glyphicons-halflings-regular.ttf	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/fonts/glyphicons-halflings-regular.ttf	(from http://localhost:57233/Content/bootstrap.css)
10:49:34	7394/7394	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202016%2023:49:33%20GMT	http://localhost:57233/Help/ResourceModel?modelName=WorkgroupMemberModel	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Help/ResourceModel1f99.html	(from http://localhost:57233/Help/Api/GET-api-workgroups-workgroupId-workstations)
10:49:34	5331/5331	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202016%2023:49:33%20GMT	http://localhost:57233/Help/ResourceModel?modelName=WorkgroupBindingModel	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Help/ResourceModel73aa.html	(from http://localhost:57233/Help/Api/POST-api-workgroups)
10:49:34	2983/2983	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202016%2023:49:34%20GMT	http://localhost:57233/Help/ResourceModel?modelName=EntityModel	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Help/ResourceModele128.html	(from http://localhost:57233/Help/Api/POST-api-workgroups)
10:49:35	3447/3447	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202016%2023:49:34%20GMT	http://localhost:57233/Help/ResourceModel?modelName=WorkstationBindingModel	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Help/ResourceModelfe96.html	(from http://localhost:57233/Help/Api/POST-api-admin-rooms-roomId-workstations)
10:49:35	4391/4391	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202016%2023:49:34%20GMT	http://localhost:57233/Help/ResourceModel?modelName=UserBindingModel	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Help/ResourceModelda1a.html	(from http://localhost:57233/Help/Api/POST-api-admin-users)
10:49:35	3058/3058	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202016%2023:49:35%20GMT	http://localhost:57233/Help/ResourceModel?modelName=UserRole	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Help/ResourceModel0571.html	(from http://localhost:57233/Help/Api/POST-api-admin-users)
10:49:36	273990/273990	---MCZ	200	added ('OK')	application/javascript	etag:%22e3bcaa94f31dd21:0%22	http://localhost:57233/Scripts/jquery-1.10.2.js	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Scripts/jquery-1.10.2.js	(from http://localhost:57233/help)
